MAC,Accel,Load,V,Fxw,Zfore,Zaft,Pitch
28,0.7,7,1.430754632,2.425781798,6.082245709,3.151632449,-0.667265661
28,0.7,7,1.479432632,2.375240678,6.053374709,2.836060449,0.508271339
28,0.7,7,1.602543632,2.409987698,5.620305709,2.836060449,0.535737339
28,0.7,7,1.569061632,2.580534548,5.880147709,3.954908449,0.557710339
28,0.7,7,1.517035632,2.441566088,6.457571709,3.668024449,0.590669339
28,0.7,7,1.643751632,2.356297568,6.486443709,4.241792449,0.618134339
28,0.7,7,1.598937632,2.391034778,6.948383709,4.356546449,0.662080339
28,0.7,7,1.773301632,2.498415038,6.919511709,4.987691449,0.689546339
28,0.7,7,1.719472632,2.646850148,7.063868709,6.249982449,0.738984339
28,0.7,7,1.662038632,2.574216908,7.179353709,6.795062449,0.771943339
28,0.7,7,1.704791632,2.457360188,7.208224709,6.852439449,0.843354339
28,0.7,7,1.718442632,2.612112938,7.323709709,7.684403449,0.876313339
28,0.7,7,1.712261632,2.460519008,7.208224709,7.713092449,0.953217339
28,0.7,7,1.762999632,2.447883728,6.919511709,8.086041449,1.024629339
28,0.7,7,1.766862632,2.457360188,7.641293709,8.143418449,1.057588339
28,0.7,7,1.772271632,2.444724908,8.189846709,8.573745449,1.134492339
28,0.7,7,1.772271632,2.463677828,7.439194709,9.606528449,1.178437339
28,0.7,7,1.812707632,2.476313108,7.670164709,9.405709449,1.277314339
28,0.7,7,1.798284632,2.684755988,7.554679709,10.15160845,1.326753339
28,0.7,7,1.804722632,2.482620938,7.496936709,10.00816645,1.425630339
28,0.7,7,1.902335632,2.773183328,7.063868709,10.58193545,1.464082339
28,0.7,7,1.881989632,2.397352418,6.746284709,10.40980445,1.562959339
28,0.7,7,1.889973632,2.435248448,6.688541709,10.26636245,1.595918339
28,0.7,7,1.913410632,2.596318838,6.977254709,10.84013145,1.683808339
28,0.7,7,1.931697632,2.741604938,6.717413709,11.01226245,1.722260339
28,0.7,7,1.919849632,2.536311068,6.977254709,11.44258845,1.788178339
28,0.7,7,1.921137632,2.533162058,6.948383709,11.75816145,1.815644339
28,0.7,7,2.111469632,2.665803068,6.746284709,11.61471945,1.865083339
28,0.7,7,2.073866632,2.943730178,6.717413709,11.41390045,1.887055339
28,0.7,7,2.076700632,3.107959388,6.544185709,11.58603045,1.931001339
28,0.7,7,2.080305632,2.861610668,6.284344709,11.55734245,1.969453339
28,0.7,7,1.997888632,2.653167788,5.909018709,11.27045745,1.974946339
28,0.7,7,2.065882632,2.905824338,6.573056709,11.70078445,1.974946339
28,0.7,7,2.056610632,2.908983158,6.515314709,11.15570445,1.980439339
28,0.7,7,1.983722632,2.937412538,6.486443709,11.81553845,1.996919339
28,0.7,7,2.147012632,3.177433808,5.880147709,12.04504545,2.002412339
28,0.7,7,2.037036632,3.212180828,6.284344709,11.90160345,2.013398339
28,0.7,7,2.134134632,3.423782528,6.861769709,11.78684945,2.024384339
28,0.7,7,2.127438632,2.956365458,6.573056709,12.36061845,2.040864339
28,0.7,7,2.131301632,3.215339648,6.746284709,12.04504545,2.046357339
28,0.7,7,2.184615632,3.190069088,6.775155709,11.87291545,2.068330339
28,0.7,7,2.192857632,3.426941348,6.342086709,11.90160345,2.073823339
28,0.7,7,2.191826632,3.493256948,7.092739709,11.75816145,2.095796339
