MAX,Load,V,Fxw
28,7,1.430754632,2.425781798
28,7,1.479432632,2.375240678
28,7,1.602543632,2.409987698
28,7,1.569061632,2.580534548
28,7,1.517035632,2.441566088
28,7,1.643751632,2.356297568
28,7,1.598937632,2.391034778
28,7,1.773301632,2.498415038
28,7,1.719472632,2.646850148
28,7,1.662038632,2.574216908
28,7,1.704791632,2.457360188
28,7,1.718442632,2.612112938
28,7,1.712261632,2.460519008
28,7,1.762999632,2.447883728
28,7,1.766862632,2.457360188
28,7,1.772271632,2.444724908
28,7,1.772271632,2.463677828
28,7,1.812707632,2.476313108
28,7,1.798284632,2.684755988
28,7,1.804722632,2.482620938
28,7,1.902335632,2.773183328
28,7,1.881989632,2.397352418
28,7,1.889973632,2.435248448
28,7,1.913410632,2.596318838
28,7,1.931697632,2.741604938
28,7,1.919849632,2.536311068
28,7,1.921137632,2.533162058
28,7,2.111469632,2.665803068
28,7,2.073866632,2.943730178
28,7,2.076700632,3.107959388
28,7,2.080305632,2.861610668
28,7,1.997888632,2.653167788
28,7,2.065882632,2.905824338
28,7,2.056610632,2.908983158
28,7,1.983722632,2.937412538
28,7,2.147012632,3.177433808
28,7,2.037036632,3.212180828
28,7,2.134134632,3.423782528
28,7,2.127438632,2.956365458
28,7,2.131301632,3.215339648
28,7,2.184615632,3.190069088
28,7,2.192857632,3.426941348
28,7,2.191826632,3.493256948
28,7,2.209083632,3.392194328
28,7,2.199811632,3.183751448
28,7,2.255958632,3.272188598
28,7,2.227627632,3.569058818
28,7,2.267805632,3.619590128
28,7,2.275017632,3.449043278
28,7,2.324982632,3.344821838
28,7,2.269350632,3.329027738
28,7,2.294848632,3.221657288
28,7,2.179464632,3.581694098
28,7,2.678863632,3.401670788
28,7,2.266517632,3.569058818
28,7,2.467410632,3.771184058
28,7,2.389886632,3.774342878
28,7,2.642805632,3.606954848
28,7,2.543389632,3.556423538
28,7,2.392204632,3.562741178
28,7,2.446548632,3.869087858
28,7,2.341466632,3.477472658
28,7,2.458911632,3.509051048
28,7,2.585886632,3.430100168
28,7,2.502180632,3.856462388
28,7,2.510679632,3.786978158
28,7,2.553176632,3.919619168
28,7,2.517633632,3.941730908
28,7,2.599794632,3.714335108
28,7,2.605975632,4.131220868
28,7,2.593097632,3.831191828
28,7,2.594385632,3.802772258
28,7,2.452730632,4.409147978
28,7,2.621686632,3.559582358
28,7,2.693544632,4.418624438
28,7,2.690968632,4.093324838
28,7,2.786264632,3.989103398
28,7,2.656713632,3.903834878
28,7,2.658259632,4.361775488
28,7,2.659289632,4.036475888
28,7,2.757675632,4.033317068
28,7,2.754069632,3.869087858
28,7,2.744025632,4.099642478
28,7,2.729087632,4.090166018
28,7,2.762569632,4.548106628
28,7,2.807899632,4.396512698
28,7,2.845502632,4.355457848
28,7,2.804550632,4.162809068
28,7,2.796824632,4.128062048
28,7,2.853486632,4.491267488
28,7,2.829791632,4.500734138
28,7,2.922511632,4.753400498
28,7,2.743767632,4.484949848
28,7,2.870227632,4.589171288
28,7,2.774159632,4.443885188
28,7,2.928692632,4.478632208
28,7,2.956766632,4.342822568
28,7,2.972219632,4.873406228
28,7,2.985612632,4.753400498
28,7,2.978143632,4.961843378
28,7,2.836230632,4.832351378
28,7,3.017292632,5.012374688
28,7,3.031715632,4.639702598
28,7,3.018322632,4.604955578
28,7,3.074469632,5.388205598
28,7,3.086317632,4.974468848
28,7,3.060819632,4.762867148
28,7,3.145813632,5.182911728
28,7,3.027337632,5.400831068
28,7,3.120057632,5.609273948
28,7,3.204536632,5.435578088
28,7,3.060561632,5.612432768
28,7,2.993339632,5.075541278
28,7,3.158433632,5.037635438
28,7,3.188825632,5.451362378
28,7,3.196294632,5.580854378
28,7,2.998490632,5.694552278
28,7,3.217413632,5.849305028
28,7,3.294938632,5.959844108
28,7,3.273303632,5.514528968
28,7,3.230549632,5.963002928
28,7,3.215868632,6.174604628
28,7,3.292363632,6.364094588
28,7,3.295968632,6.073542008
28,7,3.180068632,5.991422498
28,7,3.259910632,5.817726638
28,7,3.502787632,5.836669748
28,7,3.453851632,6.139857608
28,7,3.359328632,6.332516198
28,7,3.424747632,6.345151478
28,7,3.510771632,6.544117898
28,7,3.142722632,6.619909958
28,7,3.457972632,7.182081818
28,7,3.380447632,6.793615628
